sample_idx,prediction,ground_truth,cycles,inf_us,stack_used_bytes,attack_type
0,0,0,115,1.5972,64,normal
1,0,0,104,1.4444,64,normal
2,0,0,107,1.4861,64,normal
3,0,0,115,1.5972,64,normal
4,0,0,117,1.625,64,normal
5,0,0,114,1.5833,64,normal
6,0,1,115,1.5972,64,normal
7,1,1,97,1.3472,64,neptune
8,1,1,111,1.5417,64,neptune
9,1,1,112,1.5556,64,neptune
10,1,1,118,1.6389,64,neptune
11,1,1,101,1.4028,64,neptune
12,1,1,109,1.5139,64,neptune
13,1,1,116,1.6111,64,neptune
14,1,1,100,1.3889,64,neptune
15,1,1,121,1.6806,64,neptune
16,1,1,134,1.8611,64,neptune
17,1,1,118,1.6389,64,neptune
18,0,0,110,1.5278,64,neptune
19,0,0,121,1.6806,64,neptune
20,0,0,131,1.8194,64,neptune
21,1,0,120,1.6667,64,normal
22,0,0,113,1.5694,64,normal
23,0,0,113,1.5694,64,normal
24,0,0,120,1.6667,64,normal
25,0,0,115,1.5972,64,normal
26,0,0,114,1.5833,64,normal
27,0,0,111,1.5417,64,normal
28,0,0,112,1.5556,64,normal
29,0,0,108,1.5,64,normal
30,0,0,107,1.4861,64,normal
31,0,0,113,1.5694,64,normal
32,0,0,122,1.6944,64,normal
33,0,0,118,1.6389,64,normal
34,1,0,116,1.6111,64,normal
35,0,0,125,1.7361,64,normal
36,1,1,108,1.5,64,normal
37,1,1,112,1.5556,64,normal
38,1,1,113,1.5694,64,normal
39,1,1,103,1.4306,64,normal
40,0,1,113,1.5694,64,normal
41,0,1,110,1.5278,64,normal
42,1,1,105,1.4583,64,neptune
43,1,1,108,1.5,64,neptune
44,1,1,117,1.625,64,neptune
45,1,1,109,1.5139,64,neptune
46,0,1,119,1.6528,64,neptune
47,1,1,126,1.75,64,neptune
48,0,0,111,1.5417,64,neptune
49,0,0,113,1.5694,64,neptune
50,0,0,97,1.3472,64,neptune
51,0,0,116,1.6111,64,neptune
52,0,0,123,1.7083,64,neptune
53,0,0,107,1.4861,64,neptune
54,0,1,120,1.6667,64,neptune
55,0,1,109,1.5139,64,neptune
56,0,1,120,1.6667,64,normal
57,0,1,113,1.5694,64,normal
58,0,1,109,1.5139,64,normal
59,0,1,113,1.5694,64,normal
60,0,0,99,1.375,64,normal
61,0,0,123,1.7083,64,normal
62,0,0,101,1.4028,64,normal
63,0,0,108,1.5,64,mailbomb
64,0,0,129,1.7917,64,mailbomb
65,0,0,107,1.4861,64,mailbomb
66,1,1,105,1.4583,64,mailbomb
67,1,1,119,1.6528,64,mailbomb
68,1,1,110,1.5278,64,mailbomb
69,1,1,111,1.5417,64,mailbomb
70,0,1,123,1.7083,64,normal
71,1,1,117,1.625,64,normal
72,0,0,124,1.7222,64,normal
73,0,0,106,1.4722,64,normal
74,0,0,114,1.5833,64,normal
75,0,0,109,1.5139,64,normal
76,0,0,111,1.5417,64,normal
77,0,0,104,1.4444,64,neptune
78,1,1,107,1.4861,64,neptune
79,1,1,111,1.5417,64,neptune
80,1,1,123,1.7083,64,neptune
81,1,1,106,1.4722,64,neptune
82,1,1,114,1.5833,64,neptune
83,0,1,114,1.5833,64,neptune
84,1,1,116,1.6111,64,normal
85,1,1,121,1.6806,64,normal
86,0,1,112,1.5556,64,normal
87,0,1,106,1.4722,64,normal
88,1,1,134,1.8611,64,normal
89,0,1,118,1.6389,64,normal
90,0,0,112,1.5556,64,normal
91,0,0,120,1.6667,64,neptune
92,0,0,121,1.6806,64,neptune
93,0,0,112,1.5556,64,neptune
94,0,0,115,1.5972,64,neptune
95,0,0,111,1.5417,64,neptune
96,1,1,118,1.6389,64,neptune
97,1,1,110,1.5278,64,neptune
98,0,1,94,1.3056,64,smurf
99,1,1,100,1.3889,64,smurf
100,1,1,109,1.5139,64,smurf
101,0,1,112,1.5556,64,smurf
102,1,1,107,1.4861,64,smurf
103,1,1,117,1.625,64,smurf
104,0,1,112,1.5556,64,smurf
105,0,1,119,1.6528,64,normal
106,0,1,121,1.6806,64,normal
107,0,1,117,1.625,64,normal
108,0,0,121,1.6806,64,normal
109,0,0,103,1.4306,64,normal
110,0,0,116,1.6111,64,normal
111,0,0,112,1.5556,64,normal
112,0,0,114,1.5833,64,mscan
113,0,0,120,1.6667,64,mscan
114,1,1,111,1.5417,64,mscan
115,0,1,114,1.5833,64,mscan
116,0,1,122,1.6944,64,mscan
117,1,1,104,1.4444,64,mscan
118,0,1,112,1.5556,64,mscan
119,0,1,116,1.6111,64,warezmaster
120,1,1,106,1.4722,64,warezmaster
121,1,1,105,1.4583,64,warezmaster
122,1,1,117,1.625,64,warezmaster
123,1,1,109,1.5139,64,warezmaster
124,0,1,108,1.5,64,warezmaster
125,1,1,108,1.5,64,warezmaster
126,0,0,121,1.6806,64,normal
127,0,0,117,1.625,64,normal
128,0,0,107,1.4861,64,normal
129,0,0,117,1.625,64,normal
130,0,0,112,1.5556,64,normal
131,0,0,121,1.6806,64,normal
132,0,1,124,1.7222,64,normal
133,1,1,111,1.5417,64,apache2
134,1,1,122,1.6944,64,apache2
135,1,1,99,1.375,64,apache2
136,1,1,114,1.5833,64,apache2
137,0,1,114,1.5833,64,apache2
138,1,1,112,1.5556,64,apache2
139,1,1,118,1.6389,64,apache2
140,0,1,105,1.4583,64,neptune
141,0,1,117,1.625,64,neptune
142,1,1,125,1.7361,64,neptune
143,0,1,126,1.75,64,neptune
144,0,0,129,1.7917,64,neptune
145,0,0,113,1.5694,64,neptune
146,0,0,113,1.5694,64,neptune
147,0,0,94,1.3056,64,normal
148,0,0,127,1.7639,64,normal
149,0,0,123,1.7083,64,normal
150,1,1,117,1.625,64,normal
151,1,1,106,1.4722,64,normal
152,1,1,114,1.5833,64,normal
153,0,1,124,1.7222,64,normal
154,0,1,114,1.5833,64,neptune
155,0,1,120,1.6667,64,neptune
156,1,1,121,1.6806,64,neptune
157,1,1,117,1.625,64,neptune
158,1,1,123,1.7083,64,neptune
159,1,1,118,1.6389,64,neptune
160,1,1,109,1.5139,64,neptune
161,1,1,101,1.4028,64,smurf
162,0,1,116,1.6111,64,smurf
163,0,1,124,1.7222,64,smurf
164,0,1,110,1.5278,64,smurf
165,0,1,115,1.5972,64,smurf
