tier,detector,accuracy,fpr,recall,f1,auc_roc
easy,Autoencoder,0.8709722222222223,0.08412222222222222,0.3731083333333334,0.2658138888888889,0.7527361111111112
easy,IsolationForest,0.8291694444444445,0.11632777777777778,0.2598166666666667,0.15057222222222222,0.6341111111111111
easy,RobustRollingZScore,0.8605472222222222,0.05923333333333333,0.05593333333333333,0.05364722222222222,0.5427833333333333
easy,ZScore,0.8611388888888889,0.05808611111111111,0.05266666666666667,0.052580555555555554,0.6194611111111111
hard,Autoencoder,0.7089694444444444,0.08133333333333333,0.32196111111111114,0.34702500000000003,0.6863694444444444
hard,IsolationForest,0.6433222222222222,0.12341388888888888,0.20184166666666667,0.22063055555555555,0.5738944444444445
hard,RobustRollingZScore,0.5877555555555555,0.062116666666666674,0.05370277777777778,0.08184722222222222,0.48997777777777773
hard,ZScore,0.5881305555555555,0.060069444444444446,0.055475,0.0818,0.5678083333333332
medium,Autoencoder,0.7982055555555555,0.07581388888888889,0.3610333333333333,0.35254444444444444,0.685425
medium,IsolationForest,0.7118833333333333,0.135275,0.19318333333333335,0.17359722222222224,0.5410611111111111
medium,RobustRollingZScore,0.7182472222222223,0.05964444444444444,0.06537777777777778,0.08010555555555555,0.5056583333333333
medium,ZScore,0.7171972222222222,0.059469444444444436,0.060561111111111114,0.07459722222222222,0.5786444444444444
total,Autoencoder,0.7927157407407407,0.08042314814814816,0.35203425925925924,0.32179444444444444,0.7081768518518518
total,IsolationForest,0.728125,0.12500555555555556,0.21828055555555556,0.1816,0.5830222222222222
total,RobustRollingZScore,0.7221833333333334,0.06033148148148148,0.05833796296296296,0.07186666666666666,0.5128064814814814
total,ZScore,0.7221555555555556,0.059208333333333335,0.056234259259259255,0.06965925925925925,0.5886379629629629
