tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
clim_sensor_drift,1,easy,signal,3128,26064,ZScore,0.877,0.0057,0.2818,0.0163,0.0308,347400.0,0.5305,0.1303,True,196729166.666667,51,22806,130,3077
clim_sensor_drift,1,easy,signal,3128,26064,RobustRollingZScore,0.8671,0.0156,0.058,0.007,0.0125,19200.0,0.4655,0.1078,True,2802815.892849,22,22579,357,3106
clim_sensor_drift,1,easy,signal,3128,26064,IsolationForest,0.8335,0.0588,0.0922,0.0438,0.0594,81600.0,0.7247,0.1953,True,0.580044,137,21587,1349,2991
clim_sensor_drift,1,easy,signal,3128,26064,Autoencoder,0.8321,0.0806,0.245,0.1918,0.2152,75000.0,0.7559,0.2517,True,0.787783,600,21087,1849,2528
clim_sensor_drift,1,easy,signal,3128,26064,LOF,0.816,0.1576,0.3499,0.6221,0.4479,2400.0,0.8466,0.3446,True,1.644327,1946,19321,3615,1182
clim_sensor_drift,2,easy,signal,3128,26064,ZScore,0.876,0.0065,0.2251,0.0137,0.0259,472800.0,0.6551,0.1861,True,196729166.666667,43,22788,148,3085
clim_sensor_drift,2,easy,signal,3128,26064,RobustRollingZScore,0.8699,0.014,0.153,0.0185,0.0331,261000.0,0.5501,0.1369,True,2802815.892849,58,22615,321,3070
clim_sensor_drift,2,easy,signal,3128,26064,IsolationForest,0.8258,0.062,0.007,0.0032,0.0044,1084200.0,0.5214,0.1166,True,0.580044,10,21514,1422,3118
clim_sensor_drift,2,easy,signal,3128,26064,Autoencoder,0.8011,0.0937,0.0411,0.0294,0.0343,1081800.0,0.5656,0.124,True,0.787783,92,20788,2148,3036
clim_sensor_drift,2,easy,signal,3128,26064,LOF,0.7296,0.2084,0.1525,0.2749,0.1962,3600.0,0.5264,0.1688,True,1.644327,860,18157,4779,2268
clim_sensor_drift,1,medium,signal,9904,26064,ZScore,0.6261,0.0005,0.954,0.0168,0.0329,843600.0,0.6715,0.5454,True,196729166.666667,166,16152,8,9738
clim_sensor_drift,1,medium,signal,9904,26064,RobustRollingZScore,0.6188,0.0127,0.4591,0.0176,0.0338,166200.0,0.555,0.4257,True,2802815.892849,174,15955,205,9730
clim_sensor_drift,1,medium,signal,9904,26064,IsolationForest,0.5928,0.0662,0.2524,0.0364,0.0637,18000.0,0.5537,0.3917,True,0.580044,361,15091,1069,9543
clim_sensor_drift,1,medium,signal,9904,26064,Autoencoder,0.5757,0.1055,0.2439,0.0555,0.0905,241200.0,0.5898,0.4073,True,0.787783,550,14455,1705,9354
clim_sensor_drift,1,medium,signal,9904,26064,LOF,0.597,0.211,0.4517,0.2836,0.3484,22200.0,0.5763,0.4471,True,1.644327,2809,12750,3410,7095
clim_sensor_drift,2,medium,signal,9904,26064,ZScore,0.6258,0.002,0.8505,0.0184,0.036,159600.0,0.649,0.5135,True,196729166.666667,182,16128,32,9722
clim_sensor_drift,2,medium,signal,9904,26064,RobustRollingZScore,0.6184,0.0131,0.4433,0.017,0.0327,122400.0,0.5519,0.4248,True,2802815.892849,168,15949,211,9736
clim_sensor_drift,2,medium,signal,9904,26064,IsolationForest,0.5938,0.0637,0.2522,0.035,0.0615,159600.0,0.6329,0.4471,True,0.580044,347,15131,1029,9557
