source,target,relation,weight
p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
d_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
d_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
d_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
d_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
d_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
d_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
d_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
d_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
d_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
d_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
d_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
d_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
d_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
d_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
rm_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
rm_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
rm_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
rm_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
rm_rh_pct,https://sensorwf.org/ontologies/climate#RelativeHumidity,evidenceForClass,0.001
rm_VPmax_mbar,https://sensorwf.org/ontologies/climate#SaturationVapourPressure,evidenceForClass,0.001
rm_VPact_mbar,https://sensorwf.org/ontologies/climate#ActualVapourPressure,evidenceForClass,0.001
rm_VPdef_mbar,https://sensorwf.org/ontologies/climate#VapourPressureDeficit,evidenceForClass,0.001
rm_sh_gkg,https://sensorwf.org/ontologies/climate#SpecificHumidity,evidenceForClass,0.001
rm_H2OC_mmolmol,https://sensorwf.org/ontologies/climate#WaterVapourConcentration,evidenceForClass,0.001
rm_rho_gm3,https://sensorwf.org/ontologies/climate#AirDensity,evidenceForClass,0.001
rm_wv_ms,https://sensorwf.org/ontologies/climate#WindSpeed,evidenceForClass,0.001
rm_max_wv_ms,https://sensorwf.org/ontologies/climate#MaxWindSpeed,evidenceForClass,0.001
rm_wd_deg,https://sensorwf.org/ontologies/climate#WindDirection,evidenceForClass,0.001
rs_p_mbar,https://sensorwf.org/ontologies/climate#AtmosphericPressure,evidenceForClass,0.001
rs_T_degC,https://sensorwf.org/ontologies/climate#Temperature,evidenceForClass,0.001
rs_Tpot_K,https://sensorwf.org/ontologies/climate#PotentialTemperature,evidenceForClass,0.001
rs_Tdew_degC,https://sensorwf.org/ontologies/climate#DewPointTemperature,evidenceForClass,0.001
