timestamp,elapsed_s,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_pct,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_gkg,H2OC_mmolmol,rho_gm3,wv_ms,max_wv_ms,wd_deg
2012-01-01 00:00:00,0.0,985.43,2.3,276.62,1.73,96.0,7.21,6.92,0.29,4.38,7.03,1242.91,1.86,2.8,190.4
2012-01-01 00:10:00,600.0,985.43,2.35,276.67,1.78,96.0,7.24,6.95,0.29,4.4,7.05,1242.67,1.46,2.16,210.3
2012-01-01 00:20:00,1200.0,985.44,2.46,276.78,1.91,96.1,7.3,7.01,0.28,4.44,7.12,1242.15,1.55,2.32,193.5
2012-01-01 00:30:00,1800.0,985.4,2.51,276.83,1.92,95.9,7.32,7.02,0.3,4.44,7.12,1241.91,1.6,2.18,201.6
2012-01-01 00:40:00,2400.0,985.4,2.6,276.92,2.01,95.9,7.37,7.07,0.3,4.47,7.17,1241.46,1.43,2.32,179.8
2012-01-01 00:50:00,3000.0,985.52,2.64,276.95,2.06,95.9,7.39,7.09,0.3,4.48,7.19,1241.41,1.33,1.96,198.5
2012-01-01 01:00:00,3600.0,985.56,2.72,277.03,2.12,95.8,7.43,7.12,0.31,4.5,7.22,1241.11,1.39,2.0,201.2
2012-01-01 01:10:00,4200.0,985.56,2.77,277.08,2.17,95.8,7.46,7.14,0.31,4.52,7.25,1240.88,1.27,1.96,198.4
2012-01-01 01:20:00,4800.0,985.58,2.8,277.1,2.2,95.8,7.47,7.16,0.31,4.53,7.26,1240.76,1.36,2.2,204.3
2012-01-01 01:30:00,5400.0,985.63,2.94,277.25,2.34,95.8,7.55,7.23,0.32,4.58,7.34,1240.14,1.31,2.0,193.2
2012-01-01 01:40:00,6000.0,985.53,3.03,277.35,2.37,95.4,7.6,7.25,0.35,4.59,7.36,1239.58,1.39,2.64,195.6
2012-01-01 01:50:00,6600.0,985.55,3.09,277.4,2.4,95.2,7.63,7.26,0.37,4.6,7.37,1239.36,0.94,1.68,194.3
2012-01-01 02:00:00,7200.0,985.54,3.19,277.5,2.48,95.1,7.68,7.31,0.38,4.62,7.41,1238.87,0.91,2.26,182.1
2012-01-01 02:10:00,7800.0,985.49,3.23,277.55,2.48,94.8,7.71,7.31,0.4,4.62,7.41,1238.61,0.95,1.76,192.5
2012-01-01 02:20:00,8400.0,985.4,3.26,277.58,2.51,94.8,7.72,7.32,0.4,4.63,7.43,1238.38,1.05,2.04,192.2
2012-01-01 02:30:00,9000.0,985.5,3.23,277.55,2.48,94.8,7.71,7.31,0.4,4.62,7.41,1238.63,1.43,2.04,201.1
2012-01-01 02:40:00,9600.0,985.57,3.26,277.57,2.55,95.1,7.72,7.34,0.38,4.65,7.45,1238.6,0.86,1.62,199.7
2012-01-01 02:50:00,10200.0,985.65,3.36,277.66,2.67,95.2,7.78,7.4,0.37,4.69,7.51,1238.2,0.82,1.56,178.6
2012-01-01 03:00:00,10800.0,985.56,3.43,277.75,2.68,94.8,7.82,7.41,0.41,4.69,7.52,1237.76,1.13,2.08,213.4
2012-01-01 03:10:00,11400.0,985.53,3.4,277.71,2.64,94.8,7.8,7.39,0.41,4.68,7.5,1237.89,1.25,1.96,201.2
2012-01-01 03:20:00,12000.0,985.54,3.44,277.75,2.74,95.2,7.82,7.44,0.38,4.71,7.55,1237.71,1.71,2.5,198.0
2012-01-01 03:30:00,12600.0,985.57,3.47,277.78,2.82,95.5,7.84,7.48,0.35,4.74,7.59,1237.59,1.31,2.12,184.0
2012-01-01 03:40:00,13200.0,985.54,3.44,277.75,2.86,96.0,7.82,7.51,0.31,4.75,7.62,1237.67,1.26,2.08,196.2
2012-01-01 03:50:00,13800.0,985.53,3.44,277.76,2.95,96.6,7.82,7.56,0.27,4.78,7.67,1237.61,1.36,2.2,202.3
2012-01-01 04:00:00,14400.0,985.5,3.5,277.82,3.08,97.1,7.85,7.63,0.23,4.83,7.74,1237.29,1.56,2.8,186.4
2012-01-01 04:10:00,15000.0,985.49,3.52,277.84,3.15,97.4,7.86,7.66,0.2,4.85,7.77,1237.17,1.81,2.92,184.2
2012-01-01 04:20:00,15600.0,985.56,3.56,277.87,3.23,97.7,7.89,7.7,0.18,4.88,7.82,1237.06,2.05,3.96,181.6
2012-01-01 04:30:00,16200.0,985.55,3.57,277.89,3.27,97.9,7.9,7.73,0.17,4.89,7.84,1236.96,1.77,2.64,181.8
2012-01-01 04:40:00,16800.0,985.47,3.63,277.96,3.35,98.0,7.93,7.77,0.16,4.92,7.89,1236.57,1.65,2.92,180.6
2012-01-01 04:50:00,17400.0,985.53,3.7,278.01,3.44,98.2,7.96,7.82,0.14,4.95,7.94,1236.35,1.46,2.52,177.1
2012-01-01 05:00:00,18000.0,985.56,3.72,278.04,3.47,98.2,7.98,7.84,0.14,4.96,7.95,1236.25,1.43,2.38,194.5
2012-01-01 05:10:00,18600.0,985.56,3.85,278.17,3.64,98.5,8.05,7.93,0.12,5.02,8.05,1235.63,1.46,2.72,177.7
