timestamp,elapsed_s,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_pct,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_gkg,H2OC_mmolmol,rho_gm3,wv_ms,max_wv_ms,wd_deg
2013-01-01 00:00:00,0.0,983.57,5.69,280.18,1.36,73.6,9.16,6.74,2.42,4.28,6.86,1225.55,1.75,3.04,173.9
2013-01-01 00:10:00,600.0,983.44,5.67,280.16,1.34,73.6,9.15,6.73,2.41,4.27,6.85,1225.5,2.23,3.08,179.1
2013-01-01 00:20:00,1200.0,983.32,5.7,280.2,1.39,73.7,9.16,6.75,2.41,4.28,6.87,1225.22,2.19,3.4,176.3
2013-01-01 00:30:00,1800.0,983.16,5.61,280.13,1.38,74.1,9.11,6.75,2.36,4.28,6.86,1225.4,1.73,2.36,177.4
2013-01-01 00:40:00,2400.0,983.04,5.54,280.07,1.35,74.3,9.07,6.74,2.33,4.27,6.85,1225.55,2.46,3.84,184.8
2013-01-01 00:50:00,3000.0,982.82,5.51,280.05,1.26,74.0,9.04,6.69,2.35,4.25,6.81,1225.47,3.09,4.36,191.5
2013-01-01 01:00:00,3600.0,982.67,5.42,279.97,1.23,74.3,8.99,6.68,2.31,4.24,6.8,1225.67,2.4,4.04,185.2
2013-01-01 01:10:00,4200.0,982.58,5.4,279.96,1.17,74.1,8.98,6.65,2.32,4.22,6.77,1225.65,1.95,3.54,186.3
2013-01-01 01:20:00,4800.0,982.29,5.39,279.98,1.11,73.8,8.97,6.62,2.35,4.2,6.74,1225.33,2.22,3.88,179.0
2013-01-01 01:30:00,5400.0,982.05,5.39,280.0,1.09,73.7,8.97,6.61,2.36,4.2,6.73,1225.03,2.24,3.6,189.6
2013-01-01 01:40:00,6000.0,981.88,5.37,279.99,1.05,73.6,8.96,6.59,2.36,4.19,6.71,1224.95,3.05,4.61,192.8
2013-01-01 01:50:00,6600.0,981.75,5.32,279.95,1.04,73.8,8.92,6.59,2.34,4.18,6.71,1225.01,3.48,4.81,189.3
2013-01-01 02:00:00,7200.0,981.66,5.29,279.92,1.01,73.8,8.9,6.57,2.33,4.17,6.69,1225.04,3.1,3.96,202.4
2013-01-01 02:10:00,7800.0,981.6,5.24,279.88,0.98,73.9,8.88,6.56,2.32,4.17,6.68,1225.18,3.22,4.08,206.6
2013-01-01 02:20:00,8400.0,981.53,5.15,279.79,0.97,74.3,8.82,6.55,2.27,4.16,6.68,1225.49,3.66,4.33,205.7
2013-01-01 02:30:00,9000.0,981.41,4.94,279.6,0.9,75.0,8.69,6.52,2.17,4.14,6.64,1226.25,3.36,4.04,211.5
2013-01-01 02:40:00,9600.0,981.35,4.7,279.36,0.86,76.1,8.55,6.5,2.04,4.13,6.63,1227.27,3.7,4.77,217.6
2013-01-01 02:50:00,10200.0,981.23,4.48,279.15,0.84,77.1,8.42,6.49,1.93,4.12,6.61,1228.08,3.59,4.49,216.1
2013-01-01 03:00:00,10800.0,981.21,4.74,279.41,0.87,75.9,8.57,6.51,2.07,4.13,6.63,1226.91,3.41,4.33,217.1
2013-01-01 03:10:00,11400.0,981.04,4.95,279.63,0.83,74.6,8.7,6.49,2.21,4.12,6.61,1225.8,3.3,4.17,206.5
2013-01-01 03:20:00,12000.0,980.86,5.01,279.71,0.78,74.0,8.74,6.46,2.27,4.11,6.59,1225.3,3.87,4.91,195.2
2013-01-01 03:30:00,12600.0,980.66,4.94,279.66,0.77,74.3,8.69,6.46,2.23,4.11,6.59,1225.36,3.81,5.31,189.6
2013-01-01 03:40:00,13200.0,980.57,4.91,279.64,0.72,74.2,8.67,6.44,2.24,4.09,6.56,1225.39,3.25,4.13,189.9
2013-01-01 03:50:00,13800.0,980.33,4.97,279.71,0.7,73.8,8.71,6.43,2.28,4.09,6.56,1224.85,3.71,5.25,184.5
