timestamp,elapsed_s,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_pct,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_gkg,H2OC_mmolmol,rho_gm3,wv_ms,max_wv_ms,wd_deg
2014-01-01 00:00:00,0.0,987.7,-0.12,274.01,-4.26,73.5,6.06,4.45,1.6,2.81,4.51,1258.01,2.66,3.57,202.9
2014-01-01 00:10:00,600.0,987.54,-0.11,274.03,-4.33,73.1,6.06,4.43,1.63,2.79,4.48,1257.8,2.25,3.91,204.6
2014-01-01 00:20:00,1200.0,987.39,-0.07,274.08,-4.38,72.6,6.08,4.41,1.66,2.78,4.47,1257.42,2.31,3.16,199.4
2014-01-01 00:30:00,1800.0,987.18,-0.07,274.1,-4.34,72.8,6.08,4.42,1.65,2.79,4.48,1257.13,2.58,3.67,190.5
2014-01-01 00:40:00,2400.0,987.18,0.2,274.37,-4.29,71.7,6.2,4.44,1.75,2.8,4.5,1255.91,2.59,4.13,178.9
2014-01-01 00:50:00,3000.0,986.97,0.43,274.62,-4.29,70.5,6.3,4.44,1.86,2.8,4.5,1254.58,3.65,5.69,173.7
2014-01-01 01:00:00,3600.0,986.82,0.64,274.84,-4.32,69.27,6.4,4.43,1.97,2.8,4.49,1253.43,3.73,5.33,176.2
2014-01-01 01:10:00,4200.0,986.68,0.76,274.97,-4.42,68.09,6.46,4.4,2.06,2.78,4.46,1252.7,3.96,5.77,177.8
2014-01-01 01:20:00,4800.0,986.67,0.97,275.18,-4.47,66.84,6.55,4.38,2.17,2.77,4.44,1251.76,3.73,5.29,178.6
2014-01-01 01:30:00,5400.0,986.81,1.18,275.38,-4.53,65.55,6.65,4.36,2.29,2.75,4.42,1250.97,2.91,4.93,173.7
2014-01-01 01:40:00,6000.0,986.88,1.17,275.37,-4.52,65.64,6.65,4.37,2.29,2.76,4.42,1251.09,2.33,3.53,194.0
2014-01-01 01:50:00,6600.0,986.79,1.09,275.3,-4.46,66.28,6.61,4.38,2.23,2.77,4.44,1251.34,1.62,3.32,218.1
2014-01-01 02:00:00,7200.0,986.65,1.1,275.32,-4.45,66.34,6.62,4.39,2.23,2.77,4.45,1251.13,2.03,2.94,188.6
