tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.8882,0.0566,0.4833,0.4488,0.8135,0.5347
easy,IsolationForest,0.8682,0.0358,0.1642,0.19,0.673,0.2917
easy,LOF,0.7747,0.1822,0.4588,0.3118,0.71,0.3307
easy,RobustRollingZScore,0.8558,0.0323,0.0358,0.0562,0.5244,0.1294
easy,ZScore,0.8944,0.0094,0.1886,0.2021,0.6762,0.3249
hard,Autoencoder,0.7005,0.0597,0.5536,0.5867,0.8636,0.8805
hard,IsolationForest,0.4442,0.0423,0.1294,0.165,0.685,0.7362
hard,LOF,0.5409,0.1995,0.3818,0.4624,0.7208,0.7556
hard,RobustRollingZScore,0.3883,0.0327,0.0334,0.0634,0.5502,0.6478
hard,ZScore,0.4983,0.0035,0.1929,0.2157,0.7158,0.7875
medium,Autoencoder,0.8435,0.0657,0.6955,0.6874,0.9067,0.8373
medium,IsolationForest,0.6874,0.0481,0.2557,0.2856,0.6897,0.5822
medium,LOF,0.6705,0.2284,0.5056,0.4765,0.7257,0.628
medium,RobustRollingZScore,0.612,0.0338,0.0341,0.0625,0.5228,0.3938
medium,ZScore,0.7195,0.0089,0.2763,0.2968,0.7186,0.6222
total,Autoencoder,0.8107,0.0607,0.5774,0.5743,0.8613,0.7508
total,IsolationForest,0.6666,0.0421,0.1831,0.2135,0.6826,0.5367
total,LOF,0.6621,0.2033,0.4488,0.4169,0.7188,0.5714
total,RobustRollingZScore,0.6187,0.033,0.0344,0.0607,0.5325,0.3904
total,ZScore,0.704,0.0073,0.2193,0.2382,0.7035,0.5782
