timestamp,elapsed_s,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_pct,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_gkg,H2OC_mmolmol,rho_gm3,wv_ms,max_wv_ms,wd_deg
2015-01-01 00:00:00,0.0,1007.19,2.06,274.65,1.89,98.8,7.09,7.0,0.09,4.34,6.95,1271.51,0.41,0.92,273.8
2015-01-01 00:10:00,600.0,1007.19,2.15,274.75,1.99,98.9,7.13,7.06,0.08,4.37,7.01,1271.07,0.33,0.74,136.3
2015-01-01 00:20:00,1200.0,1007.18,2.1,274.7,1.93,98.8,7.11,7.03,0.09,4.35,6.98,1271.28,0.65,1.16,129.3
2015-01-01 00:30:00,1800.0,1007.17,2.08,274.67,1.91,98.8,7.1,7.01,0.09,4.34,6.96,1271.4,0.46,1.64,134.1
2015-01-01 00:40:00,2400.0,1007.17,2.07,274.67,1.92,98.9,7.1,7.02,0.08,4.35,6.97,1271.41,0.63,1.6,95.9
2015-01-01 00:50:00,3000.0,1007.1,2.22,274.83,2.1,99.1,7.17,7.11,0.06,4.4,7.06,1270.59,0.45,1.2,147.2
2015-01-01 01:00:00,3600.0,1007.06,2.22,274.82,2.06,98.9,7.17,7.09,0.08,4.39,7.04,1270.58,0.43,0.88,119.1
2015-01-01 01:10:00,4200.0,1007.06,2.15,274.76,2.0,98.9,7.14,7.06,0.08,4.37,7.01,1270.88,0.46,0.96,135.5
2015-01-01 01:20:00,4800.0,1007.09,2.22,274.82,2.08,99.0,7.17,7.1,0.07,4.4,7.05,1270.6,0.52,1.0,162.7
2015-01-01 01:30:00,5400.0,1007.16,2.17,274.77,2.0,98.8,7.14,7.06,0.09,4.37,7.01,1270.94,0.74,1.48,145.0
2015-01-01 01:40:00,6000.0,1007.23,2.15,274.74,1.99,98.9,7.13,7.06,0.08,4.37,7.0,1271.12,0.81,1.64,144.7
2015-01-01 01:50:00,6600.0,1007.36,2.13,274.71,1.97,98.9,7.12,7.04,0.08,4.36,6.99,1271.39,0.52,1.3,82.6
2015-01-01 02:00:00,7200.0,1007.43,2.04,274.61,1.87,98.8,7.08,6.99,0.08,4.33,6.94,1271.93,0.86,1.64,145.9
2015-01-01 02:10:00,7800.0,1007.51,1.96,274.53,1.79,98.8,7.04,6.95,0.08,4.3,6.9,1272.41,0.76,1.4,122.4
2015-01-01 02:20:00,8400.0,1007.55,1.88,274.45,1.73,98.9,7.0,6.92,0.08,4.28,6.87,1272.82,0.61,1.2,189.3
2015-01-01 02:30:00,9000.0,1007.63,1.89,274.46,1.74,98.9,7.0,6.93,0.08,4.29,6.88,1272.86,0.48,1.0,193.4
2015-01-01 02:40:00,9600.0,1007.78,2.03,274.58,1.89,99.0,7.07,7.0,0.07,4.33,6.95,1272.4,0.27,0.58,105.7
2015-01-01 02:50:00,10200.0,1007.88,1.95,274.5,1.78,98.8,7.03,6.95,0.08,4.3,6.9,1272.9,0.63,1.32,127.5
2015-01-01 03:00:00,10800.0,1007.87,1.79,274.34,1.63,98.8,6.95,6.87,0.08,4.25,6.82,1273.66,0.82,1.72,140.6
2015-01-01 03:10:00,11400.0,1007.84,1.79,274.33,1.63,98.9,6.95,6.87,0.08,4.25,6.82,1273.66,0.42,0.96,163.9
2015-01-01 03:20:00,12000.0,1007.83,1.81,274.35,1.65,98.9,6.96,6.88,0.08,4.26,6.83,1273.55,0.49,1.24,131.2
2015-01-01 03:30:00,12600.0,1007.86,1.8,274.34,1.64,98.9,6.96,6.88,0.08,4.26,6.83,1273.62,1.01,1.76,143.5
2015-01-01 03:40:00,13200.0,1007.83,1.86,274.41,1.72,99.0,6.99,6.92,0.07,4.28,6.87,1273.27,0.58,1.36,84.4
2015-01-01 03:50:00,13800.0,1007.83,1.97,274.52,1.84,99.1,7.04,6.98,0.06,4.32,6.93,1272.75,0.44,0.88,44.67
2015-01-01 04:00:00,14400.0,1007.79,2.12,274.66,1.99,99.1,7.12,7.05,0.06,4.36,7.0,1271.98,0.43,1.04,86.2
2015-01-01 04:10:00,15000.0,1007.77,2.19,274.74,2.04,99.0,7.15,7.08,0.07,4.38,7.03,1271.62,0.25,0.56,248.4
2015-01-01 04:20:00,15600.0,1007.79,2.18,274.73,2.03,98.9,7.15,7.07,0.08,4.38,7.02,1271.68,0.27,0.6,2.66
2015-01-01 04:30:00,16200.0,1007.84,2.2,274.74,2.03,98.8,7.16,7.07,0.09,4.38,7.02,1271.66,0.34,0.56,34.62
2015-01-01 04:40:00,16800.0,1007.79,2.24,274.79,2.07,98.8,7.18,7.1,0.09,4.39,7.04,1271.38,0.21,0.72,352.2
2015-01-01 04:50:00,17400.0,1007.79,2.5,275.05,2.36,99.0,7.32,7.24,0.07,4.48,7.19,1270.12,0.21,0.56,327.2
2015-01-01 05:00:00,18000.0,1007.68,2.46,275.02,2.25,98.5,7.3,7.19,0.11,4.45,7.13,1270.17,0.24,0.52,247.2
2015-01-01 05:10:00,18600.0,1007.67,2.32,274.87,2.05,98.1,7.22,7.08,0.14,4.38,7.03,1270.89,0.37,0.8,209.7
2015-01-01 05:20:00,19200.0,1007.56,2.14,274.71,1.89,98.2,7.13,7.0,0.13,4.33,6.95,1271.58,0.28,0.52,249.8
2015-01-01 05:30:00,19800.0,1007.54,2.31,274.87,2.08,98.4,7.21,7.1,0.12,4.39,7.05,1270.77,0.49,1.24,93.6
2015-01-01 05:40:00,20400.0,1007.47,2.2,274.78,1.92,98.0,7.16,7.02,0.14,4.34,6.97,1271.19,0.39,1.0,162.3
2015-01-01 05:50:00,21000.0,1007.48,2.01,274.58,1.68,97.7,7.06,6.9,0.16,4.27,6.85,1272.17,0.38,0.68,187.3
2015-01-01 06:00:00,21600.0,1007.53,1.93,274.5,1.64,97.9,7.02,6.88,0.15,4.26,6.82,1272.59,0.49,1.08,222.8
2015-01-01 06:10:00,22200.0,1007.42,2.0,274.57,1.73,98.1,7.06,6.92,0.13,4.28,6.87,1272.13,0.25,0.48,209.5
2015-01-01 06:20:00,22800.0,1007.38,2.05,274.63,1.76,98.0,7.08,6.94,0.14,4.3,6.89,1271.84,0.33,0.58,195.9
2015-01-01 06:30:00,23400.0,1007.36,1.92,274.51,1.63,97.9,7.02,6.87,0.15,4.25,6.82,1272.41,0.36,0.84,11.07
2015-01-01 06:40:00,24000.0,1007.49,1.98,274.56,1.72,98.1,7.05,6.92,0.13,4.28,6.86,1272.28,0.35,0.76,240.5
2015-01-01 06:50:00,24600.0,1007.58,1.85,274.41,1.52,97.7,6.98,6.82,0.16,4.22,6.77,1273.07,0.61,0.88,207.5
2015-01-01 07:00:00,25200.0,1007.55,1.79,274.36,1.48,97.8,6.95,6.8,0.15,4.21,6.75,1273.3,0.7,1.06,202.6
2015-01-01 07:10:00,25800.0,1007.61,1.62,274.19,1.32,97.8,6.87,6.72,0.15,4.16,6.67,1274.19,0.58,0.96,207.1
2015-01-01 07:20:00,26400.0,1007.75,1.87,274.42,1.61,98.2,6.99,6.87,0.13,4.25,6.81,1273.17,0.23,0.48,109.5
2015-01-01 07:30:00,27000.0,1007.99,1.7,274.23,1.35,97.5,6.91,6.73,0.17,4.17,6.68,1274.33,0.63,1.08,63.59
2015-01-01 07:40:00,27600.0,1007.96,1.52,274.06,1.18,97.6,6.82,6.66,0.16,4.12,6.6,1275.15,1.16,1.78,161.5
2015-01-01 07:50:00,28200.0,1008.14,1.52,274.04,1.21,97.8,6.82,6.67,0.15,4.13,6.62,1275.36,0.52,0.96,205.4
2015-01-01 08:00:00,28800.0,1008.31,1.75,274.26,1.47,98.0,6.93,6.79,0.14,4.2,6.74,1274.47,0.38,0.72,195.6
2015-01-01 08:10:00,29400.0,1008.48,1.78,274.27,1.48,97.9,6.95,6.8,0.15,4.2,6.74,1274.55,0.37,0.88,273.3
2015-01-01 08:20:00,30000.0,1008.54,1.96,274.45,1.64,97.7,7.04,6.88,0.16,4.25,6.82,1273.72,0.37,0.96,184.6
2015-01-01 08:30:00,30600.0,1008.69,1.54,274.02,1.09,96.8,6.83,6.61,0.22,4.09,6.55,1276.02,1.15,1.72,213.1
