source,target,relation,weight
MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
d_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
d_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
rm_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
rm_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
rs_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
rs_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
sk_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
sk_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
ku_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
ku_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
zcr_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
zcr_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
se_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
se_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
df_MLII,https://sensorwf.org/ontologies/ecg#MLII,evidenceForClass,0.001
df_V5,https://sensorwf.org/ontologies/ecg#V5,evidenceForClass,0.001
