node_id,node_type,label
MLII,feature,MLII
https://sensorwf.org/ontologies/ecg#MLII,ontologyclass,//sensorwf.org/ontologies/ecg#MLII
V5,feature,V5
https://sensorwf.org/ontologies/ecg#V5,ontologyclass,//sensorwf.org/ontologies/ecg#V5
d_MLII,feature,d_MLII
d_V5,feature,d_V5
dt_sample,feature,dt_sample
rm_MLII,feature,rm_MLII
rm_V5,feature,rm_V5
rs_MLII,feature,rs_MLII
rs_V5,feature,rs_V5
sk_MLII,feature,sk_MLII
sk_V5,feature,sk_V5
ku_MLII,feature,ku_MLII
ku_V5,feature,ku_V5
zcr_MLII,feature,zcr_MLII
zcr_V5,feature,zcr_V5
se_MLII,feature,se_MLII
se_V5,feature,se_V5
df_MLII,feature,df_MLII
df_V5,feature,df_V5
