tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_baseline_wander,1,easy,signal,1800,15000,ZScore,0.7862,0.2427,0.3593,0.9978,0.5283,0.0,0.9808,0.8455,True,2081314285.714151,1796,9997,3203,4
ecg_baseline_wander,1,easy,signal,1800,15000,RobustRollingZScore,0.8651,0.0173,0.0172,0.0022,0.0039,0.428,0.4498,0.1024,True,1099520.796612,4,12972,228,1796
ecg_baseline_wander,1,easy,signal,1800,15000,IsolationForest,0.9307,0.0765,0.6368,0.9839,0.7732,0.506,0.9872,0.8658,True,0.559547,1771,12190,1010,29
ecg_baseline_wander,1,easy,signal,1800,15000,Autoencoder,0.8561,0.1622,0.4542,0.99,0.6228,0.35,0.9869,0.8344,True,0.574157,1782,11059,2141,18
ecg_baseline_wander,1,easy,signal,1800,15000,LOF,0.8018,0.224,0.3763,0.9911,0.5455,0.311,0.9832,0.8031,True,1.472817,1784,10243,2957,16
ecg_baseline_wander,2,easy,signal,1800,15000,ZScore,0.7851,0.243,0.3574,0.9911,0.5254,0.0,0.9778,0.8442,True,2081314285.714151,1784,9993,3207,16
ecg_baseline_wander,2,easy,signal,1800,15000,RobustRollingZScore,0.8648,0.0173,0.0,0.0,0.0,,0.475,0.1067,False,1099520.796612,0,12972,228,1800
ecg_baseline_wander,2,easy,signal,1800,15000,IsolationForest,0.9267,0.0805,0.6239,0.9789,0.7621,0.739,0.9864,0.8816,True,0.559547,1762,12138,1062,38
ecg_baseline_wander,2,easy,signal,1800,15000,Autoencoder,0.8291,0.1931,0.412,0.9922,0.5822,0.272,0.9864,0.8521,True,0.574157,1786,10651,2549,14
ecg_baseline_wander,2,easy,signal,1800,15000,LOF,0.734,0.3008,0.3096,0.9894,0.4717,0.292,0.9808,0.7929,True,1.472817,1781,9229,3971,19
ecg_baseline_wander,1,medium,signal,5700,15000,ZScore,0.8467,0.2076,0.7341,0.9354,0.8226,0.661,0.9464,0.9227,True,2081314285.714151,5332,7369,1931,368
ecg_baseline_wander,1,medium,signal,5700,15000,RobustRollingZScore,0.6151,0.0178,0.3591,0.0163,0.0312,6.378,0.4504,0.3458,True,1099520.796612,93,9134,166,5607
ecg_baseline_wander,1,medium,signal,5700,15000,IsolationForest,0.9354,0.0992,0.8597,0.9919,0.9211,0.661,0.9709,0.9038,True,0.559547,5654,8377,923,46
ecg_baseline_wander,1,medium,signal,5700,15000,Autoencoder,0.8692,0.2082,0.7456,0.9954,0.8526,0.506,0.9671,0.8672,True,0.574157,5674,7364,1936,26
ecg_baseline_wander,1,medium,signal,5700,15000,LOF,0.8263,0.2783,0.6871,0.9968,0.8135,0.35,0.9575,0.8605,True,1.472817,5682,6712,2588,18
ecg_baseline_wander,2,medium,signal,5700,15000,ZScore,0.8077,0.2197,0.704,0.8525,0.7711,0.681,0.8963,0.8721,True,2081314285.714151,4859,7257,2043,841
