tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr
easy,Autoencoder,0.9627,0.0223,0.8529,0.8295,0.9812,0.8904
easy,IsolationForest,0.9135,0.0155,0.3928,0.4017,0.8891,0.6013
easy,LOF,0.8817,0.1175,0.8754,0.6347,0.9399,0.7104
easy,RobustRollingZScore,0.8739,0.0157,0.0649,0.0921,0.5163,0.1747
easy,ZScore,0.8863,0.0072,0.1057,0.1378,0.8662,0.4832
hard,Autoencoder,0.8104,0.0299,0.7125,0.7582,0.929,0.9343
hard,IsolationForest,0.5331,0.0186,0.2583,0.3058,0.8419,0.85
hard,LOF,0.8088,0.1021,0.7542,0.7976,0.9116,0.9286
hard,RobustRollingZScore,0.4081,0.0162,0.0551,0.0941,0.5134,0.6409
hard,ZScore,0.398,0.0068,0.0333,0.0585,0.7987,0.819
medium,Autoencoder,0.9236,0.0247,0.8394,0.8586,0.9671,0.9344
medium,IsolationForest,0.7429,0.0179,0.3527,0.3863,0.8738,0.7714
medium,LOF,0.8607,0.1288,0.8436,0.8086,0.931,0.8714
medium,RobustRollingZScore,0.6369,0.0157,0.07,0.1106,0.5063,0.4216
medium,ZScore,0.6425,0.0071,0.0709,0.104,0.8486,0.7173
total,Autoencoder,0.8989,0.0256,0.8016,0.8154,0.9591,0.9197
total,IsolationForest,0.7298,0.0173,0.3346,0.3646,0.8683,0.7409
total,LOF,0.8504,0.1162,0.8244,0.747,0.9275,0.8368
total,RobustRollingZScore,0.6396,0.0159,0.0634,0.0989,0.512,0.4124
total,ZScore,0.6423,0.007,0.07,0.1001,0.8378,0.6731
