tier,detector,accuracy,fpr,recall,f1,auc_roc
easy,Autoencoder,0.8065111111111112,0.16948333333333332,0.5161055555555555,0.26380000000000003,0.7158055555555555
easy,IsolationForest,0.7754,0.1921861111111111,0.40544444444444444,0.19418611111111111,0.6530472222222222
easy,RobustRollingZScore,0.872975,0.042075,0.03981666666666667,0.051886111111111105,0.5338888888888889
easy,ZScore,0.8194361111111111,0.10261111111111111,0.08944166666666667,0.04104166666666667,0.6266055555555555
hard,Autoencoder,0.7052361111111112,0.17021944444444445,0.431975,0.41812222222222223,0.6281222222222222
hard,IsolationForest,0.6593916666666666,0.18436944444444445,0.31804166666666667,0.32232777777777777,0.5578222222222222
hard,RobustRollingZScore,0.5908611111111112,0.04036111111111111,0.03934166666666667,0.06917222222222223,0.4864805555555556
hard,ZScore,0.5745527777777778,0.10285555555555555,0.10389166666666666,0.11948333333333333,0.5552805555555556
medium,Autoencoder,0.7396833333333332,0.18700555555555554,0.4244555555555556,0.35192222222222225,0.640825
medium,IsolationForest,0.6925333333333333,0.20332222222222224,0.3079222222222222,0.249075,0.5771555555555555
medium,RobustRollingZScore,0.7283027777777779,0.040591666666666665,0.05035833333333333,0.08121944444444446,0.4915
medium,ZScore,0.7016222222222221,0.09143055555555556,0.11314166666666667,0.11006111111111111,0.5835916666666666
total,Autoencoder,0.7504768518518519,0.17556944444444444,0.457512037037037,0.3446148148148148,0.6615842592592592
total,IsolationForest,0.7091083333333332,0.19329259259259257,0.34380277777777773,0.2551962962962963,0.5960083333333333
total,RobustRollingZScore,0.730712962962963,0.04100925925925926,0.04317222222222222,0.06742592592592593,0.5039564814814815
total,ZScore,0.698537037037037,0.09896574074074074,0.10215833333333332,0.09019537037037037,0.5884925925925926
