tier,detector,accuracy,fpr,recall,f1,auc_roc
easy,Autoencoder,0.7717166666666667,0.2054166666666667,0.537425,0.235875,0.7264416666666667
easy,IsolationForest,0.8858277777777778,0.04728333333333333,0.1735611111111111,0.14285,0.6071166666666667
easy,RobustRollingZScore,0.8853722222222222,0.02818611111111111,0.029199999999999997,0.03618888888888889,0.5312305555555557
easy,ZScore,0.8965888888888889,0.013888888888888888,0.015066666666666666,0.023905555555555555,0.5435444444444444
hard,Autoencoder,0.6814833333333333,0.19048888888888887,0.4671972222222222,0.4096277777777778,0.6451527777777778
hard,IsolationForest,0.6682916666666666,0.048980555555555555,0.14888333333333334,0.16728055555555554,0.5656805555555555
hard,RobustRollingZScore,0.5975944444444444,0.025366666666666666,0.02842777777777778,0.05045,0.48006944444444444
hard,ZScore,0.5992694444444444,0.012133333333333333,0.014658333333333336,0.027744444444444447,0.5142083333333333
medium,Autoencoder,0.7053722222222222,0.2209972222222222,0.46820277777777775,0.3277055555555555,0.6396111111111111
medium,IsolationForest,0.7746,0.04918333333333333,0.17577500000000001,0.1804222222222222,0.5413333333333333
medium,RobustRollingZScore,0.7343777777777778,0.02775,0.026933333333333333,0.045358333333333334,0.4778388888888889
medium,ZScore,0.7406194444444445,0.01361111111111111,0.012727777777777777,0.023369444444444446,0.509638888888889
total,Autoencoder,0.7195240740740741,0.20563425925925927,0.49094166666666667,0.32440277777777776,0.6704018518518519
total,IsolationForest,0.7762398148148149,0.04848240740740741,0.16607314814814814,0.1635175925925926,0.5713768518518518
total,RobustRollingZScore,0.7391148148148148,0.027100925925925924,0.028187037037037038,0.04399907407407407,0.49637962962962967
total,ZScore,0.7454925925925926,0.013211111111111111,0.014150925925925926,0.02500648148148148,0.5224638888888888
