tier,detector,accuracy,fpr,recall,f1,auc_roc,auc_pr,event_rate
easy,Autoencoder,0.6173638888888889,0.40444444444444444,0.8165944444444445,0.2704888888888889,0.8012666666666667,0.5071694444444445,0.8611111111111112
easy,IsolationForest,0.7983111111111111,0.13055555555555556,0.11013055555555556,0.06249444444444444,0.5311222222222223,0.12357222222222222,0.5
easy,LOF,0.8074138888888889,0.126725,0.12539166666666668,0.09091388888888889,0.5316972222222223,0.12172222222222222,0.6111111111111112
easy,RobustRollingZScore,0.8633833333333334,0.07115555555555556,0.29378333333333334,0.220525,0.6399555555555555,0.243825,0.5
easy,ZScore,0.5388,0.43640277777777775,0.4035944444444445,0.07609722222222222,0.5993527777777777,0.23288611111111113,0.7222222222222222
hard,Autoencoder,0.6676194444444444,0.3796805555555556,0.77625,0.5811861111111111,0.756163888888889,0.6462249999999999,1.0
hard,IsolationForest,0.6131888888888889,0.13452777777777777,0.18525833333333333,0.1961111111111111,0.6047666666666667,0.46828333333333333,0.8888888888888888
hard,LOF,0.638311111111111,0.1254,0.215025,0.2509416666666667,0.57955,0.43759166666666666,0.9444444444444444
hard,RobustRollingZScore,0.6289916666666666,0.08791388888888889,0.18945833333333334,0.23004722222222224,0.5733583333333333,0.47169722222222216,0.8333333333333334
hard,ZScore,0.4846333333333333,0.4383222222222222,0.4407111111111111,0.25855,0.6361222222222223,0.551138888888889,0.9722222222222222
medium,Autoencoder,0.6041,0.4381277777777778,0.7815555555555556,0.4466305555555556,0.7583777777777778,0.5905833333333333,0.9166666666666666
medium,IsolationForest,0.7039777777777778,0.13090277777777778,0.18338333333333334,0.16548333333333332,0.5555694444444444,0.3009777777777778,0.75
medium,LOF,0.7092583333333333,0.13274444444444444,0.20071944444444445,0.195375,0.5369972222222222,0.28155833333333335,0.9444444444444444
medium,RobustRollingZScore,0.73925,0.07187222222222223,0.18787500000000001,0.221375,0.5765416666666667,0.3605333333333334,0.7222222222222222
medium,ZScore,0.5228972222222222,0.4353,0.43459444444444445,0.19163333333333332,0.59455,0.3965888888888889,0.8611111111111112
total,Autoencoder,0.6296944444444444,0.4074175925925926,0.7914666666666667,0.4327685185185185,0.7719361111111112,0.5813259259259259,0.9259259259259259
total,IsolationForest,0.7051592592592593,0.13199537037037037,0.15959074074074076,0.14136296296296297,0.5638194444444444,0.29761111111111116,0.7129629629629629
total,LOF,0.7183277777777778,0.1282898148148148,0.18037870370370368,0.17907685185185185,0.5494148148148148,0.28029074074074073,0.8333333333333334
total,RobustRollingZScore,0.743875,0.07698055555555555,0.22370555555555555,0.2239824074074074,0.5966185185185184,0.35868518518518516,0.6851851851851852
total,ZScore,0.5154435185185186,0.436675,0.42629999999999996,0.17542685185185186,0.6100083333333333,0.39353796296296295,0.8518518518518519
