source,target,relation,weight
FSW_DB_VER,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
CMD_RCV_CNT,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
CMD_ACC_CNT,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
CMD_REJ_CNT,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
CMD_INC_CNT,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
PLATFORM_PWR_STATUS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ADCS_PWR_STATUS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PAYLOAD_PWR_STATUS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
SPR_PWR_STATUS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
SOLAR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
SOLAR_S,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
EXT_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
EXT_S,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
BATT_CHR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
BATT_CHR_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
BATT_CHR_STATUS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
SYS_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
SYS_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PLAT_5V_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PLAT_5V_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
OBC_PWR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
OBC_PWR_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ADCS_PROC_PWR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ADCS_PROC_PWR_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ADCS_PER_PWR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ADCS_PER_PWR_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
COMMS_PWR_V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
COMMS_PWR_I,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
TEMP_SOLAR,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_EPS,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_BATTERY,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_BACKPLANE,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
TEMP_OBDH,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
TEMP_ADCS,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_WHEEL,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_COMMS,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_PAYLOAD,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_EPS_L,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_OBDH_L,https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,evidenceForClass,0.001
TEMP_ADCS_L,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_WHEEL_L,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
TEMP_COMMS_L,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
TEMP_PAYLOAD_L,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
FREQ,https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,evidenceForClass,0.001
RSSI,https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,evidenceForClass,0.001
TX_POWER,https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,evidenceForClass,0.001
FRAME_ERR,https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_1,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_2,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_3,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_4,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_5,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_6,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_7,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_8,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_9,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_10,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_11,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_12,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_13,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_14,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_15,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_ROD_16,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_BATH_1,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_BATH_2,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_BATH_3,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_EXP3,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
THERMISTOR_HEATER,https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,evidenceForClass,0.001
PWR_SW_VERSION,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
COMMS_SW_VERSION,https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,evidenceForClass,0.001
PWR_SYS,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PWR_PLAT_5V,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PWR_OBC_PWR,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
PWR_COMMS_PWR,https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,evidenceForClass,0.001
ACCEL_X,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
ACCEL_Y,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
ACCEL_Z,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
GYRO_X,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
GYRO_Y,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
GYRO_Z,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
MAG_X,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
MAG_Y,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
MAG_Z,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_1a,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_1b,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_2a,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_2b,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_3a,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_3b,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_4a,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
SUN_SENSOR_4b,https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,evidenceForClass,0.001
