node_id,node_type,label
FSW_DB_VER,feature,FSW_DB_VER
https://sensorwf.org/ontologies/satellite#OnBoardDataHandling,ontologyclass,//sensorwf.org/ontologies/satellite#OnBoardDataHandling
DAY,feature,DAY
HOUR,feature,HOUR
MINUTE,feature,MINUTE
SECOND,feature,SECOND
SC_ID,feature,SC_ID
CMD_RCV_CNT,feature,CMD_RCV_CNT
CMD_ACC_CNT,feature,CMD_ACC_CNT
CMD_REJ_CNT,feature,CMD_REJ_CNT
CMD_INC_CNT,feature,CMD_INC_CNT
PAYLOAD_STATUS,feature,PAYLOAD_STATUS
PLATFORM_PWR_STATUS,feature,PLATFORM_PWR_STATUS
https://sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem,ontologyclass,//sensorwf.org/ontologies/satellite#ElectricalPowerSubsystem
ADCS_PWR_STATUS,feature,ADCS_PWR_STATUS
PAYLOAD_PWR_STATUS,feature,PAYLOAD_PWR_STATUS
SPR_PWR_STATUS,feature,SPR_PWR_STATUS
SOLAR_V,feature,SOLAR_V
SOLAR_S,feature,SOLAR_S
EXT_V,feature,EXT_V
EXT_S,feature,EXT_S
BATT_CHR_V,feature,BATT_CHR_V
BATT_CHR_I,feature,BATT_CHR_I
BATT_CHR_STATUS,feature,BATT_CHR_STATUS
SYS_V,feature,SYS_V
SYS_I,feature,SYS_I
SPR_V,feature,SPR_V
SPR_I,feature,SPR_I
PLAT_5V_V,feature,PLAT_5V_V
PLAT_5V_I,feature,PLAT_5V_I
ADCS_5V_V,feature,ADCS_5V_V
ADCS_5V_I,feature,ADCS_5V_I
PAYLOAD_5V_V,feature,PAYLOAD_5V_V
PAYLOAD_5V_I,feature,PAYLOAD_5V_I
OBC_PWR_V,feature,OBC_PWR_V
OBC_PWR_I,feature,OBC_PWR_I
ADCS_PROC_PWR_V,feature,ADCS_PROC_PWR_V
ADCS_PROC_PWR_I,feature,ADCS_PROC_PWR_I
ADCS_PER_PWR_V,feature,ADCS_PER_PWR_V
ADCS_PER_PWR_I,feature,ADCS_PER_PWR_I
COMMS_PWR_V,feature,COMMS_PWR_V
COMMS_PWR_I,feature,COMMS_PWR_I
TEMP_SOLAR,feature,TEMP_SOLAR
https://sensorwf.org/ontologies/satellite#ThermalControlSubsystem,ontologyclass,//sensorwf.org/ontologies/satellite#ThermalControlSubsystem
TEMP_EPS,feature,TEMP_EPS
TEMP_BATTERY,feature,TEMP_BATTERY
TEMP_BACKPLANE,feature,TEMP_BACKPLANE
TEMP_OBDH,feature,TEMP_OBDH
TEMP_ADCS,feature,TEMP_ADCS
TEMP_WHEEL,feature,TEMP_WHEEL
TEMP_COMMS,feature,TEMP_COMMS
TEMP_PAYLOAD,feature,TEMP_PAYLOAD
TEMP_EPS_L,feature,TEMP_EPS_L
TEMP_OBDH_L,feature,TEMP_OBDH_L
TEMP_ADCS_L,feature,TEMP_ADCS_L
TEMP_WHEEL_L,feature,TEMP_WHEEL_L
https://sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem,ontologyclass,//sensorwf.org/ontologies/satellite#AttitudeDeterminationAndControlSubsystem
TEMP_COMMS_L,feature,TEMP_COMMS_L
TEMP_PAYLOAD_L,feature,TEMP_PAYLOAD_L
FREQ,feature,FREQ
https://sensorwf.org/ontologies/satellite#CommunicationsSubsystem,ontologyclass,//sensorwf.org/ontologies/satellite#CommunicationsSubsystem
RSSI,feature,RSSI
TX_POWER,feature,TX_POWER
FRAME_ERR,feature,FRAME_ERR
TEMP_THERM_EXP_L,feature,TEMP_THERM_EXP_L
THERMISTOR_ROD_1,feature,THERMISTOR_ROD_1
THERMISTOR_ROD_2,feature,THERMISTOR_ROD_2
THERMISTOR_ROD_3,feature,THERMISTOR_ROD_3
THERMISTOR_ROD_4,feature,THERMISTOR_ROD_4
THERMISTOR_ROD_5,feature,THERMISTOR_ROD_5
THERMISTOR_ROD_6,feature,THERMISTOR_ROD_6
THERMISTOR_ROD_7,feature,THERMISTOR_ROD_7
THERMISTOR_ROD_8,feature,THERMISTOR_ROD_8
THERMISTOR_ROD_9,feature,THERMISTOR_ROD_9
THERMISTOR_ROD_10,feature,THERMISTOR_ROD_10
THERMISTOR_ROD_11,feature,THERMISTOR_ROD_11
THERMISTOR_ROD_12,feature,THERMISTOR_ROD_12
THERMISTOR_ROD_13,feature,THERMISTOR_ROD_13
THERMISTOR_ROD_14,feature,THERMISTOR_ROD_14
THERMISTOR_ROD_15,feature,THERMISTOR_ROD_15
THERMISTOR_ROD_16,feature,THERMISTOR_ROD_16
THERMISTOR_BATH_1,feature,THERMISTOR_BATH_1
THERMISTOR_BATH_2,feature,THERMISTOR_BATH_2
THERMISTOR_BATH_3,feature,THERMISTOR_BATH_3
THERMISTOR_EXP3,feature,THERMISTOR_EXP3
THERMISTOR_HEATER,feature,THERMISTOR_HEATER
THERMAL_EXP_SW_VERSION,feature,THERMAL_EXP_SW_VERSION
OBC_SW_VERSION,feature,OBC_SW_VERSION
PWR_SW_VERSION,feature,PWR_SW_VERSION
COMMS_SW_VERSION,feature,COMMS_SW_VERSION
ADCS_SW_VERSION,feature,ADCS_SW_VERSION
ACTUATOR_SW_VERSION,feature,ACTUATOR_SW_VERSION
PWR_SYS,feature,PWR_SYS
PWR_PLAT_5V,feature,PWR_PLAT_5V
PWR_OBC_PWR,feature,PWR_OBC_PWR
PWR_COMMS_PWR,feature,PWR_COMMS_PWR
_has_stuck_thermistor,feature,_has_stuck_thermistor
ADCS_MODE,feature,ADCS_MODE
ACCEL_X,feature,ACCEL_X
ACCEL_Y,feature,ACCEL_Y
ACCEL_Z,feature,ACCEL_Z
GYRO_X,feature,GYRO_X
GYRO_Y,feature,GYRO_Y
GYRO_Z,feature,GYRO_Z
MAG_X,feature,MAG_X
MAG_Y,feature,MAG_Y
MAG_Z,feature,MAG_Z
SUN_SENSOR_1a,feature,SUN_SENSOR_1a
SUN_SENSOR_1b,feature,SUN_SENSOR_1b
SUN_SENSOR_2a,feature,SUN_SENSOR_2a
SUN_SENSOR_2b,feature,SUN_SENSOR_2b
SUN_SENSOR_3a,feature,SUN_SENSOR_3a
SUN_SENSOR_3b,feature,SUN_SENSOR_3b
SUN_SENSOR_4a,feature,SUN_SENSOR_4a
SUN_SENSOR_4b,feature,SUN_SENSOR_4b
SUN_ANGLE,feature,SUN_ANGLE
WHEEL_SPEED,feature,WHEEL_SPEED
MAGNETORQUER_X,feature,MAGNETORQUER_X
MAGNETORQUER_Y,feature,MAGNETORQUER_Y
MAGNETORQUER_Z,feature,MAGNETORQUER_Z
KP_VALUE,feature,KP_VALUE
KD_VALUE,feature,KD_VALUE
ADCS_VERSION,feature,ADCS_VERSION
ADCS_ACC_CNT,feature,ADCS_ACC_CNT
ADCS_REJ_CNT,feature,ADCS_REJ_CNT
ADCS_INC_CNT,feature,ADCS_INC_CNT
MAG_DEPLOYMENT_STATUS,feature,MAG_DEPLOYMENT_STATUS
d_FSW_DB_VER,feature,d_FSW_DB_VER
d_DAY,feature,d_DAY
d_HOUR,feature,d_HOUR
d_MINUTE,feature,d_MINUTE
d_SECOND,feature,d_SECOND
d_SC_ID,feature,d_SC_ID
d_CMD_RCV_CNT,feature,d_CMD_RCV_CNT
d_CMD_ACC_CNT,feature,d_CMD_ACC_CNT
d_CMD_REJ_CNT,feature,d_CMD_REJ_CNT
d_CMD_INC_CNT,feature,d_CMD_INC_CNT
d_PAYLOAD_STATUS,feature,d_PAYLOAD_STATUS
d_PLATFORM_PWR_STATUS,feature,d_PLATFORM_PWR_STATUS
d_ADCS_PWR_STATUS,feature,d_ADCS_PWR_STATUS
d_PAYLOAD_PWR_STATUS,feature,d_PAYLOAD_PWR_STATUS
d_SPR_PWR_STATUS,feature,d_SPR_PWR_STATUS
d_SOLAR_V,feature,d_SOLAR_V
d_SOLAR_S,feature,d_SOLAR_S
d_EXT_V,feature,d_EXT_V
d_EXT_S,feature,d_EXT_S
d_BATT_CHR_V,feature,d_BATT_CHR_V
d_BATT_CHR_I,feature,d_BATT_CHR_I
d_BATT_CHR_STATUS,feature,d_BATT_CHR_STATUS
d_SYS_V,feature,d_SYS_V
d_SYS_I,feature,d_SYS_I
d_SPR_V,feature,d_SPR_V
d_SPR_I,feature,d_SPR_I
d_PLAT_5V_V,feature,d_PLAT_5V_V
d_PLAT_5V_I,feature,d_PLAT_5V_I
d_ADCS_5V_V,feature,d_ADCS_5V_V
d_ADCS_5V_I,feature,d_ADCS_5V_I
d_PAYLOAD_5V_V,feature,d_PAYLOAD_5V_V
d_PAYLOAD_5V_I,feature,d_PAYLOAD_5V_I
d_OBC_PWR_V,feature,d_OBC_PWR_V
d_OBC_PWR_I,feature,d_OBC_PWR_I
d_ADCS_PROC_PWR_V,feature,d_ADCS_PROC_PWR_V
d_ADCS_PROC_PWR_I,feature,d_ADCS_PROC_PWR_I
d_ADCS_PER_PWR_V,feature,d_ADCS_PER_PWR_V
d_ADCS_PER_PWR_I,feature,d_ADCS_PER_PWR_I
d_COMMS_PWR_V,feature,d_COMMS_PWR_V
d_COMMS_PWR_I,feature,d_COMMS_PWR_I
d_TEMP_SOLAR,feature,d_TEMP_SOLAR
