timestamp,elapsed_s,p_mbar,T_degC,Tpot_K,Tdew_degC,rh_pct,VPmax_mbar,VPact_mbar,VPdef_mbar,sh_gkg,H2OC_mmolmol,rho_gm3,wv_ms,max_wv_ms,wd_deg
2011-01-01 00:00:00,0.0,994.61,-2.87,270.71,-3.95,92.2,4.94,4.56,0.39,2.85,4.58,1279.67,1.3,1.76,211.7
2011-01-01 00:10:00,600.0,994.53,-3.05,270.53,-4.12,92.3,4.88,4.5,0.38,2.82,4.52,1280.45,1.3,2.26,192.0
2011-01-01 00:20:00,1200.0,994.51,-3.16,270.42,-4.11,93.1,4.83,4.5,0.33,2.82,4.53,1280.96,1.07,1.44,205.5
2011-01-01 00:30:00,1800.0,994.42,-3.2,270.39,-4.22,92.6,4.82,4.46,0.36,2.8,4.49,1281.05,1.44,2.08,231.4
2011-01-01 00:40:00,2400.0,994.3,-3.45,270.15,-4.64,91.4,4.73,4.32,0.41,2.71,4.35,1282.16,1.51,2.0,196.8
2011-01-01 00:50:00,3000.0,994.16,-3.68,269.94,-4.75,92.2,4.65,4.29,0.36,2.69,4.31,1283.05,1.16,2.0,219.5
2011-01-01 01:00:00,3600.0,994.01,-3.64,269.98,-4.89,91.0,4.66,4.24,0.42,2.66,4.27,1282.72,1.73,2.32,218.7
2011-01-01 01:10:00,4200.0,993.9,-3.89,269.75,-5.19,90.6,4.58,4.15,0.43,2.6,4.17,1283.78,0.95,1.8,212.2
2011-01-01 01:20:00,4800.0,993.79,-4.0,269.64,-5.3,90.6,4.54,4.11,0.43,2.58,4.14,1284.2,0.88,1.54,221.5
2011-01-01 01:30:00,5400.0,993.66,-4.13,269.52,-5.42,90.7,4.49,4.08,0.42,2.56,4.1,1284.68,1.15,1.64,158.2
2011-01-01 01:40:00,6000.0,993.62,-4.3,269.35,-5.31,92.6,4.44,4.11,0.33,2.58,4.14,1285.41,0.81,2.12,138.4
2011-01-01 01:50:00,6600.0,993.43,-4.31,269.36,-5.19,93.5,4.43,4.15,0.29,2.6,4.17,1285.2,1.42,2.32,141.4
2011-01-01 02:00:00,7200.0,993.42,-4.11,269.56,-5.04,93.2,4.5,4.2,0.31,2.63,4.22,1284.2,1.08,2.36,158.5
2011-01-01 02:10:00,7800.0,993.38,-3.97,269.7,-4.95,92.8,4.55,4.22,0.33,2.65,4.25,1283.46,1.08,2.32,152.1
2011-01-01 02:20:00,8400.0,993.34,-3.8,269.88,-4.86,92.3,4.61,4.25,0.35,2.67,4.28,1282.59,1.0,2.2,149.9
2011-01-01 02:30:00,9000.0,993.36,-3.36,270.32,-4.52,91.6,4.76,4.36,0.4,2.74,4.39,1280.48,0.52,1.28,134.9
2011-01-01 02:40:00,9600.0,993.31,-3.22,270.46,-4.69,89.5,4.81,4.31,0.51,2.7,4.34,1279.77,1.0,1.84,150.9
2011-01-01 02:50:00,10200.0,993.13,-3.29,270.4,-4.82,89.1,4.79,4.27,0.52,2.68,4.3,1279.89,1.94,2.74,145.4
2011-01-01 03:00:00,10800.0,992.96,-3.62,270.08,-5.04,89.8,4.67,4.19,0.48,2.63,4.22,1281.29,1.1,2.48,131.3
2011-01-01 03:10:00,11400.0,992.82,-3.53,270.19,-4.85,90.5,4.7,4.26,0.45,2.67,4.29,1280.64,1.18,1.92,150.5
2011-01-01 03:20:00,12000.0,992.69,-3.44,270.29,-4.75,90.6,4.73,4.29,0.45,2.69,4.32,1280.03,1.05,1.88,124.0
2011-01-01 03:30:00,12600.0,992.75,-3.43,270.3,-4.7,90.8,4.74,4.3,0.44,2.7,4.34,1280.03,1.1,2.72,101.4
